Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area
Sheppard West Substation,35000756,Transportation Terminal/Station,1
Sheppard Yonge Substation,35000757,Transportation Terminal/Station,1
Runnymede Subway Stn,35000754,Transportation Terminal/Station,1
Russell Substation,35000755,Transportation Terminal/Station,1
Royal York Subway Stn,35000752,Transportation Terminal/Station,1
Runnymede Rd Unit Loop,35000753,Transportation Terminal/Station,1
Summerhill Subway Stn,35000766,Transportation Terminal/Station,1
Toronto-York Spadina Subway,35000767,Transportation Terminal/Station,1
St Patrick Subway Stn,35000764,Transportation Terminal/Station,1
Sumach Substation,35000765,Transportation Terminal/Station,1
St Clair Subway Stn,35000762,Transportation Terminal/Station,1
St Clair West Subway Stn,35000763,Transportation Terminal/Station,1
Spadina Subway Stn,35000760,Transportation Terminal/Station,1
St Andrew Subway Stn,35000761,Transportation Terminal/Station,1
Pleasant Substation,35000742,Transportation Terminal/Station,1
Prince Edward Substation,35000743,Transportation Terminal/Station,1
Park Hill Substation,35000740,Transportation Terminal/Station,1
Pioneer Village Stn,35000741,Transportation Terminal/Station,1
Overlea & Thorncliffe (SW),35000738,Transportation Terminal/Station,1
Pape Subway Stn,35000739,Transportation Terminal/Station,1
Ossington Subway Stn,35000736,Transportation Terminal/Station,1
Overlea & Thorncliffe (NW),35000737,Transportation Terminal/Station,1
Roncesvalles Substation,35000750,Transportation Terminal/Station,1
Rosedale Subway Stn,35000751,Transportation Terminal/Station,1
Richmond Substation,35000748,Transportation Terminal/Station,1
Rockcliffe Pole Yard,35000749,Transportation Terminal/Station,1
Queens Quay Ferry Docks Terminal,35000746,Transportation Terminal/Station,1
Queensway Garage & Shop,35000747,Transportation Terminal/Station,123426
Queen St W Subway Station,35000744,Transportation Terminal/Station,1
Queens Park Subway Stn,35000745,Transportation Terminal/Station,1
1739 Bayview,35000790,Other - Public Services,1
2427 Gerrard St E,35000791,Other - Public Services,1
139A Dupont St.,35000788,Other - Public Services,1
150 Disco Rd (Blower Enclosure),35000789,Other - Public Services,1
York Mills Substation,35000786,Transportation Terminal/Station,1
Yorkdale Subway Stn,35000787,Transportation Terminal/Station,1
Woodbine Subway Stn,35000784,Transportation Terminal/Station,1
Yonge & Steeles Ave E (SW),35000785,Transportation Terminal/Station,1
Carlingview Pumping Station,35000798,Other - Public Services,1
Coatsworth Cut Tank,35000799,Other - Public Services,1
Bayview & John,35000796,Other - Public Services,1
Bayview Reservoir,35000797,Other - Public Services,1
83 East Don Roadway,35000794,Other - Public Services,1
Bathurst St,35000795,Other - Public Services,1
3971 Keele St.,35000792,Other - Public Services,1
58 Humberview Rd,35000793,Other - Public Services,1
Vaughan Metro Centre Station,35000774,Transportation Terminal/Station,1
Victoria Park & Ellesmere (NW),35000775,Transportation Terminal/Station,1
TTC Various Locations,35000772,Transportation Terminal/Station,6
Union Subway Stn,35000773,Transportation Terminal/Station,1
Trinity Substation,35000770,Transportation Terminal/Station,1
TTC Various,35000771,Transportation Terminal/Station,24
Town Centre Substation,35000768,Transportation Terminal/Station,1
Townsley Substation,35000769,Transportation Terminal/Station,1
Wilson Substation,35000782,Transportation Terminal/Station,1
Wolseley Loop,35000783,Transportation Terminal/Station,1
Warden Subway Stn,35000780,Transportation Terminal/Station,1
Wellesley St E Subway Stn,35000781,Transportation Terminal/Station,1
Victoria Park Subway Stn,35000778,Transportation Terminal/Station,1
Warden Substation,35000779,Transportation Terminal/Station,1
Victoria Park & Ellesmere (SE),35000776,Transportation Terminal/Station,1
Victoria Park Ave (Bingham Loop),35000777,Transportation Terminal/Station,1
Ellesmere Pumping Station,35000822,Drinking Water Treatment & Distribution,6243
High Level Pumping Station,35000823,Drinking Water Treatment & Distribution,46403
Dorset Pumping Station,35000820,Drinking Water Treatment & Distribution,1
Eglinton Pumping Station,35000821,Drinking Water Treatment & Distribution,10075
Works and Emergency Serv,35000818,Other - Public Services,1
Armour Heights Pumping Station,35000819,Drinking Water Treatment & Distribution,5780
Wilson Heights Pumping Station,35000816,Other - Public Services,1
Woodward & Highland,35000817,Other - Public Services,1
Parkdale Pumping Station,35000830,Drinking Water Treatment & Distribution,11227
Riverside Common,35058174,Other - Public Services,8406
Richview Pumping Station,35000831,Drinking Water Treatment & Distribution,2357
Lawrence Pumping Station,35000828,Drinking Water Treatment & Distribution,15629
Milliken Pumping Station,35000829,Drinking Water Treatment & Distribution,1
Keelesdale Park - Pumping Station,35000826,Drinking Water Treatment & Distribution,1
