Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area
Carlaw Substation,35000654,Transportation,1
Carpark 654,35000655,Transportation,1
Broadview Substation,35000652,Transportation,1
Broadview Subway Stn,35000653,Transportation,1
Birchmount Rd,35000650,Transportation,1
Bloor Subway Stn,35000651,Transportation,1
Berwick Substation,35000648,Transportation,1
Birchmount Bus Garage,35000649,Transportation,150996
Hillcrest Substation,35000694,Transportation,1
"Hillcrest, Gunn, Bathurst Garage",35000695,Transportation,295000
High Park Subway Stn,35000692,Transportation,1
Highway 407 Stn,35000693,Transportation,1
Gunns Loop,35000690,Transportation,1
Harbourfront Substation,35000691,Transportation,2071
Greenwood Substation,35000688,Transportation,1
Greenwood Subway Stn,35000689,Transportation,1
Jane & Eglinton (SW),35000702,Transportation,1
Jane Substation,35000703,Transportation,1
Islington Subway Stn,35000700,Transportation,1
Jane & Eglinton (NE),35000701,Transportation,1
Indian Grove Substation,35000698,Transportation,1
Islington Substation,35000699,Transportation,1
Humber Loop,35000696,Transportation,1
Humber Loop Substation,35000697,Transportation,1
Eglinton Garage,35000678,Transportation,120986
Eglinton West Subway Stn,35000679,Transportation,1
Dupont Subway Stn,35000676,Transportation,1
Eglington Subway Stn,35000677,Transportation,1
Dundas Subway Stn,35000674,Transportation,1
Dundas W Subway Stn,35000675,Transportation,1
Dufferin Subway Stn,35000672,Transportation,1
Duncan  Substation,35000673,Transportation,1
Glencairn Subway Stn,35000686,Transportation,1
Granby Substation,35000687,Transportation,1
Freshmeadow & Don Mills (NE),35000684,Transportation,1
Glenayr Substation,35000685,Transportation,1
Finch Substation,35000682,Transportation,1
Finch West Stn,35000683,Transportation,1
Ellesmere Substation,35000680,Transportation,1
Fairholme Substation,35000681,Transportation,1
Museum Subway Stn,35000726,Transportation,1
Neilson & Ellesmere (NE),35000727,Transportation,1
McNicoll Bus Garage,35000724,Transportation,830283
Meadowvale Loop,35000725,Transportation,1
Malvern Garage & Shop,35000722,Transportation,574125
McCowan Substation,35000723,Transportation,1
Long Branch Substation,35000720,Transportation,1
Main Street Subway Stn,35000721,Transportation,1
Osgoode Subway Stn,35000734,Transportation,1
Ossington Substation,35000735,Transportation,1
Old Mill Subway Stn,35000732,Transportation,1
Orde Substation,35000733,Transportation,1
North York Ctr Subway Stn,35000730,Transportation,1
Oakvale Substation,35000731,Transportation,1
Neilson & Ellesmere (SW),35000728,Transportation,1
Neville Park Loop,35000729,Transportation,1
Kipling Substation,35000710,Transportation,1
Lakeshore Garage & Shop,35000711,Transportation,305356
Kipling & Dixon (NW),35000708,Transportation,1
Kipling & Dixon (SW),35000709,Transportation,1
Kennedy Substation,35000706,Transportation,1
King Subway Stn,35000707,Transportation,1
Jane Subway Stn,35000704,Transportation,1
Keele Subway Stn,35000705,Transportation,1
Leslie  Substation,35000718,Transportation,1
Lippincott Substation,35000719,Transportation,1
Lawrence Substation,35000716,Transportation,1
Lawrence Subway Stn,35000717,Transportation,1
Lansdowne Subway Stn,35000714,Transportation,1
Lawrence East Substation,35000715,Transportation,1
Lakeshore Substation,35000712,Transportation,1
Lansdowne Substation,35000713,Transportation,1
Sherbourne Subway Stn,35000758,Transportation,1
Spadina North Subway Stn,35000759,Transportation,1
Sheppard West Substation,35000756,Transportation,1
Sheppard Yonge Substation,35000757,Transportation,1
Runnymede Subway Stn,35000754,Transportation,1
Russell Substation,35000755,Transportation,1
Royal York Subway Stn,35000752,Transportation,1
Runnymede Rd Unit Loop,35000753,Transportation,1
Summerhill Subway Stn,35000766,Transportation,1
Toronto-York Spadina Subway,35000767,Transportation,1
St Patrick Subway Stn,35000764,Transportation,1
Sumach Substation,35000765,Transportation,1
St Clair Subway Stn,35000762,Transportation,1
St Clair West Subway Stn,35000763,Transportation,1
Spadina Subway Stn,35000760,Transportation,1
St Andrew Subway Stn,35000761,Transportation,1
Pleasant Substation,35000742,Transportation,1
Prince Edward Substation,35000743,Transportation,1
Park Hill Substation,35000740,Transportation,1
Pioneer Village Stn,35000741,Transportation,1
Overlea & Thorncliffe (SW),35000738,Transportation,1
Pape Subway Stn,35000739,Transportation,1
Ossington Subway Stn,35000736,Transportation,1
Overlea & Thorncliffe (NW),35000737,Transportation,1
Roncesvalles Substation,35000750,Transportation,1
Rosedale Subway Stn,35000751,Transportation,1
Richmond Substation,35000748,Transportation,1
Rockcliffe Pole Yard,35000749,Transportation,1
Queens Quay Ferry Docks Terminal,35000746,Transportation,1
Queensway Garage & Shop,35000747,Transportation,123426
Queen St W Subway Station,35000744,Transportation,1
Queens Park Subway Stn,35000745,Transportation,1
1739 Bayview,35000790,Other-Public Services,1
2427 Gerrard St E,35000791,Other-Public Services,1
139A Dupont St.,35000788,Other-Public Services,1
150 Disco Rd (Blower Enclosure),35000789,Other-Public Services,1
York Mills Substation,35000786,Transportation,1
Yorkdale Subway Stn,35000787,Transportation,1
Woodbine Subway Stn,35000784,Transportation,1
Yonge & Steeles Ave E (SW),35000785,Transportation,1
Carlingview Pumping Station,35000798,Other-Public Services,1
Coatsworth Cut Tank,35000799,Other-Public Services,1
Bayview & John,35000796,Other-Public Services,1
Bayview Reservoir,35000797,Other-Public Services,1
83 East Don Roadway,35000794,Other-Public Services,1
Bathurst St,35000795,Other-Public Services,1
3971 Keele St.,35000792,Other-Public Services,1
58 Humberview Rd,35000793,Other-Public Services,1
Vaughan Metro Centre Station,35000774,Transportation,1
Victoria Park & Ellesmere (NW),35000775,Transportation,1
TTC Various Locations,35000772,Transportation,6
Union Subway Stn,35000773,Transportation,1
Trinity Substation,35000770,Transportation,1
TTC Various,35000771,Transportation,24
Town Centre Substation,35000768,Transportation,1
Townsley Substation,35000769,Transportation,1
Wilson Substation,35000782,Transportation,1
Wolseley Loop,35000783,Transportation,1
Warden Subway Stn,35000780,Transportation,1
Wellesley St E Subway Stn,35000781,Transportation,1
Victoria Park Subway Stn,35000778,Transportation,1
Warden Substation,35000779,Transportation,1
Victoria Park & Ellesmere (SE),35000776,Transportation,1
Victoria Park Ave (Bingham Loop),35000777,Transportation,1
Ellesmere Pumping Station,35000822,Utilities / Infrastructure,6243
High Level Pumping Station,35000823,Utilities / Infrastructure,46403
Dorset Pumping Station,35000820,Utilities / Infrastructure,1
Eglinton Pumping Station,35000821,Utilities / Infrastructure,10075
Works and Emergency Serv,35000818,Other-Public Services,1
Armour Heights Pumping Station,35000819,Utilities / Infrastructure,5780
Wilson Heights Pumping Station,35000816,Other-Public Services,1
Woodward & Highland,35000817,Other-Public Services,1
Parkdale Pumping Station,35000830,Utilities / Infrastructure,11227
Riverside Common,35058174,Other-Public Services,8406
Richview Pumping Station,35000831,Utilities / Infrastructure,2357
Lawrence Pumping Station,35000828,Utilities / Infrastructure,15629
Milliken Pumping Station,35000829,Utilities / Infrastructure,1
Keelesdale Park - Pumping Station,35000826,Utilities / Infrastructure,1
Kennedy Pumping Station,35000827,Utilities / Infrastructure,5360
John Street Pumping Station,35000824,Utilities / Infrastructure,112773
Keele Pumping Station,35000825,Utilities / Infrastructure,2745
Old Mill Sewage Pumping Station,35000806,Other-Public Services,1
Riverwood Sewage Pumping Station,35000807,Other-Public Services,1
Lower Riverwood Landfill,35000804,Other-Public Services,1
MacLean Detention Tank,35000805,Other-Public Services,7
Glendale Shaft,35000802,Other-Public Services,1
High Park Sewage Pumping Station,35000803,Other-Public Services,1
