Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area,month,normalized_monthly_usage
Pharmacy Yard,35000527,Other-Public Services,1851,2024-02-01,682.11
Pharmacy Yard,35000527,Other-Public Services,1851,2024-03-01,1184.29
Pharmacy Yard,35000527,Other-Public Services,1851,2024-04-01,787.77
Pharmacy Yard,35000527,Other-Public Services,1851,2024-05-01,143.48
Pharmacy Yard,35000527,Other-Public Services,1851,2024-06-01,60.21
Pharmacy Yard,35000527,Other-Public Services,1851,2024-07-01,43.47
Pharmacy Yard,35000527,Other-Public Services,1851,2024-08-01,100.49
Pharmacy Yard,35000527,Other-Public Services,1851,2024-09-01,60.03999999999999
Pharmacy Yard,35000527,Other-Public Services,1851,2024-10-01,265.76
Pharmacy Yard,35000527,Other-Public Services,1851,2024-11-01,675.77
Pharmacy Yard,35000527,Other-Public Services,1851,2024-12-01,1179.5
Northline Parks and Garage,35000524,Other-Public Services,50041,2024-01-01,10681.31
Northline Parks and Garage,35000524,Other-Public Services,50041,2024-02-01,10474.76
Northline Parks and Garage,35000524,Other-Public Services,50041,2024-03-01,8769.98
Northline Parks and Garage,35000524,Other-Public Services,50041,2024-04-01,5847.3
Northline Parks and Garage,35000524,Other-Public Services,50041,2024-05-01,1725.66
Northline Parks and Garage,35000524,Other-Public Services,50041,2024-06-01,267.99
Northline Parks and Garage,35000524,Other-Public Services,50041,2024-07-01,303.58
Northline Parks and Garage,35000524,Other-Public Services,50041,2024-08-01,198.01
Northline Parks and Garage,35000524,Other-Public Services,50041,2024-09-01,145.21
Northline Parks and Garage,35000524,Other-Public Services,50041,2024-10-01,3056.49
Northline Parks and Garage,35000524,Other-Public Services,50041,2024-11-01,7983.77
Northline Parks and Garage,35000524,Other-Public Services,50041,2024-12-01,9786.58
Oriole Yard,35000525,Other-Public Services,26759,2024-01-01,20656.12
Oriole Yard,35000525,Other-Public Services,26759,2024-02-01,15160.889999999998
Oriole Yard,35000525,Other-Public Services,26759,2024-03-01,17256.91
Oriole Yard,35000525,Other-Public Services,26759,2024-04-01,9426.34
Oriole Yard,35000525,Other-Public Services,26759,2024-05-01,5577.19
Oriole Yard,35000525,Other-Public Services,26759,2024-06-01,390.5
Oriole Yard,35000525,Other-Public Services,26759,2024-07-01,307.33
Oriole Yard,35000525,Other-Public Services,26759,2024-08-01,294.28
Oriole Yard,35000525,Other-Public Services,26759,2024-09-01,1182.54
Oriole Yard,35000525,Other-Public Services,26759,2024-10-01,6011.85
Oriole Yard,35000525,Other-Public Services,26759,2024-11-01,12010.96
Oriole Yard,35000525,Other-Public Services,26759,2024-12-01,16086.089999999998
Northern Services Building,35000523,Other-Public Services,5769,2024-01-01,17269.22
Northern Services Building,35000523,Other-Public Services,5769,2024-02-01,8872.15
Northern Services Building,35000523,Other-Public Services,5769,2024-03-01,9576.2
Northern Services Building,35000523,Other-Public Services,5769,2024-04-01,4144.78
Northern Services Building,35000523,Other-Public Services,5769,2024-05-01,1367.58
Northern Services Building,35000523,Other-Public Services,5769,2024-06-01,171.77
Northern Services Building,35000523,Other-Public Services,5769,2024-07-01,53.5
Northern Services Building,35000523,Other-Public Services,5769,2024-08-01,183.07
Northern Services Building,35000523,Other-Public Services,5769,2024-09-01,202.1
Northern Services Building,35000523,Other-Public Services,5769,2024-10-01,2641.78
Northern Services Building,35000523,Other-Public Services,5769,2024-11-01,5796.46
Northern Services Building,35000523,Other-Public Services,5769,2024-12-01,9924.67
Murray Yard,35000520,Other-Public Services,38760,2024-01-01,11413.24
Murray Yard,35000520,Other-Public Services,38760,2024-02-01,5635.7
Murray Yard,35000520,Other-Public Services,38760,2024-03-01,6697.99
Murray Yard,35000520,Other-Public Services,38760,2024-04-01,1698.38
Murray Yard,35000520,Other-Public Services,38760,2024-05-01,1176.99
Murray Yard,35000520,Other-Public Services,38760,2024-06-01,1139.02
Murray Yard,35000520,Other-Public Services,38760,2024-07-01,233.42
Murray Yard,35000520,Other-Public Services,38760,2024-08-01,129.65
Murray Yard,35000520,Other-Public Services,38760,2024-09-01,126.42000000000002
Murray Yard,35000520,Other-Public Services,38760,2024-10-01,3162.6
Murray Yard,35000520,Other-Public Services,38760,2024-11-01,7110.52
Murray Yard,35000520,Other-Public Services,38760,2024-12-01,11464.01
Nashdene Yard,35000521,Other-Public Services,24176,2024-01-01,8041.77
Nashdene Yard,35000521,Other-Public Services,24176,2024-02-01,6234.17
Nashdene Yard,35000521,Other-Public Services,24176,2024-03-01,5219.46
Nashdene Yard,35000521,Other-Public Services,24176,2024-04-01,2930.16
Nashdene Yard,35000521,Other-Public Services,24176,2024-05-01,523.21
Nashdene Yard,35000521,Other-Public Services,24176,2024-06-01,178.64
Nashdene Yard,35000521,Other-Public Services,24176,2024-07-01,209.29
Nashdene Yard,35000521,Other-Public Services,24176,2024-08-01,164.42
Nashdene Yard,35000521,Other-Public Services,24176,2024-09-01,124.59000000000002
Nashdene Yard,35000521,Other-Public Services,24176,2024-10-01,1589.33
Nashdene Yard,35000521,Other-Public Services,24176,2024-11-01,2934.3
Nashdene Yard,35000521,Other-Public Services,24176,2024-12-01,7049.089999999999
North Queen St Storm Pumping Station,35000546,Other-Public Services,676,2024-01-01,438.28
North Queen St Storm Pumping Station,35000546,Other-Public Services,676,2024-02-01,308.38
North Queen St Storm Pumping Station,35000546,Other-Public Services,676,2024-03-01,259.78
North Queen St Storm Pumping Station,35000546,Other-Public Services,676,2024-04-01,143.55
North Queen St Storm Pumping Station,35000546,Other-Public Services,676,2024-05-01,18.14
North Queen St Storm Pumping Station,35000546,Other-Public Services,676,2024-06-01,1.37
North Queen St Storm Pumping Station,35000546,Other-Public Services,676,2024-07-01,3.82
North Queen St Storm Pumping Station,35000546,Other-Public Services,676,2024-08-01,37.54
North Queen St Storm Pumping Station,35000546,Other-Public Services,676,2024-09-01,18.64
North Queen St Storm Pumping Station,35000546,Other-Public Services,676,2024-10-01,6.0
North Queen St Storm Pumping Station,35000546,Other-Public Services,676,2024-11-01,152.83
North Queen St Storm Pumping Station,35000546,Other-Public Services,676,2024-12-01,223.25
Scarborough Transfer Station,35000596,Other-Public Services,96595,2024-01-01,10183.46
Scarborough Transfer Station,35000596,Other-Public Services,96595,2024-02-01,10058.51
Scarborough Transfer Station,35000596,Other-Public Services,96595,2024-03-01,7776.93
